id,label,description,type
Q30910022,"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights",Historic Scottish Cabinet position,cabinet
Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",Scottish Cabinet position,cabinet
Q30887278,Cabinet Secretary for Culture and External Affairs,Historic Scottish Cabinet position,cabinet
Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs",Historic Scottish Cabinet position,cabinet
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",portfolio in the Scottish Government,cabinet
Q24197309,"Cabinet Secretary for Economy, Jobs and Fair Work",,cabinet
Q5015475,Cabinet Secretary for Education and Lifelong Learning,portfolio in the Scottish Government,cabinet
Q30762640,Cabinet Secretary for Education and Skills,Scottish Cabinet position,cabinet
Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",Scottish Cabinet position,cabinet
Q6865992,"Cabinet Secretary for Fair Work, Skills and Training",portfolio in the Scottish Government,cabinet
Q30879247,Cabinet Secretary for Finance and Sustainable Growth,Historic Scottish Cabinet position,cabinet
Q30762819,Cabinet Secretary for Finance and the Constitution,Scottish Cabinet position,cabinet
Q30879924,"Cabinet Secretary for Finance, Constitution and Economy",Historic Scottish Cabinet position,cabinet
Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",portfolio in the Scottish Government,cabinet
Q30762929,Cabinet Secretary for Health and Sport,Scottish Cabinet position,cabinet
Q30886058,Cabinet Secretary for Health and Wellbeing,Historic Scottish Cabinet position (2012-2014),cabinet
Q16148216,Cabinet Secretary for Health and Wellbeing,portfolio in the Scottish Government (2007-2011),cabinet
Q30885996,"Cabinet Secretary for Health, Wellbeing and Cities Strategy",Historic Scottish Cabinet position,cabinet
Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport",Historic Scottish Cabinet position,cabinet
Q30909024,Cabinet Secretary for Infrastructure and Capital Investment,Historic Scottish Cabinet position,cabinet
Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities",portfolio in the Scottish Government,cabinet
Q5015480,Cabinet Secretary for Justice,portfolio in the Scottish Government,cabinet
Q30886611,Cabinet Secretary for Parliamentary Business and Government Strategy,Scottish Cabinet position,cabinet
Q1173947,Cabinet Secretary for Rural Affairs and the Environment,Scottish Government cabinet position,cabinet
Q30914031,"Cabinet Secretary for Rural Affairs, Food and Environment",Historic Scottish Cabinet position,cabinet
Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights",portfolio in the Scottish Government,cabinet
Q30909593,"Cabinet Secretary for Training, Youth and Womenâ€™s Employment",Historic Scottish Cabinet position,cabinet
Q30763620,Cabinet Secretary for the Rural Economy and Connectivity,Scottish Cabinet position,cabinet
Q30768793,Chief Whip and Government Business Manager,Scottish Cabinet position,cabinet
Q5261035,Deputy First Minister of Scotland,professional position in Scotland,cabinet
Q1362216,First Minister of Scotland,position,cabinet
Q1807003,Lord Advocate,,cabinet
Q30767816,Minister for Children and Education,Historic Scottish Cabinet position,cabinet
Q30868809,Minister for Communities,Historic Scottish Cabinet position,cabinet
Q30864563,Minister for Culture and Sport,Historic Scottish Cabinet position,cabinet
Q30864059,Minister for Education and Young People,Historic Scottish Cabinet position,cabinet
Q30775634,"Minister for Education, Europe and External Affairs",Historic Scottish Cabinet position,cabinet
Q6865814,Minister for Enterprise and Lifelong Learning,Scottish cabinet position,cabinet
Q30864358,"Minister for Enterprise, Transport and Lifelong Learning",Historic Scottish Cabinet position,cabinet
Q30777876,Minister for Environment and Rural Development,Historic Scottish Cabinet position,cabinet
Q30776055,"Minister for Environment, Sport and Culture",Historic Scottish Cabinet position,cabinet
Q30768476,Minister for Finance,Historic Scottish Cabinet position,cabinet
Q30776391,Minister for Finance and Local Government,Historic Scottish Cabinet position,cabinet
Q30878519,Minister for Finance and Public Service Reform,Historic Scottish Cabinet position,cabinet
Q30864809,Minister for Finance and Public Services,Historic Scottish Cabinet position,cabinet
Q30768665,Minister for Health and Community Care,Historic Scottish Cabinet position,cabinet
Q30770915,Minister for Justice,Historic Scottish Cabinet position,cabinet
Q30777136,Minister for Parliament,Historic Scottish Cabinet position,cabinet
Q30769027,Minister for Rural Affairs,Historic Scottish Cabinet position,cabinet
Q30777441,Minister for Rural Development,Historic Scottish Cabinet position,cabinet
Q30768016,"Minister for Social Inclusion, Local Government and Housing",Historic Scottish Cabinet position,cabinet
Q30779962,Minister for Social Justice,Historic Scottish Cabinet position,cabinet
Q30868914,"Minister for Tourism, Culture and Sport",Historic Scottish Cabinet position,cabinet
Q30869200,Minister for Transport,Historic Scottish Cabinet position,cabinet
Q30778783,Minister for Transport and Planning,Historic Scottish Cabinet position,cabinet
Q30778119,Minister for Transport and Telecommunications,Historic Scottish Cabinet position (2000-2001),cabinet
Q30869794,Minister for Transport and Telecommunications,Historic Scottish Cabinet position (2003-2006),cabinet
Q30769264,Minister for Transport and the Environment,Historic Scottish Cabinet position,cabinet
Q16707842,Member of Parliament in the United Kingdom,voters' representative in the House of Commons of the United Kingdom,other_legislatures
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q18952564,Member of the House of Lords,"",other_legislatures
Q24082166,Deputy Leader of the Scottish Conservative Party,"",party
Q24081896,Leader of the Scottish Conservative Party,"",party
Q23766514,Leader of the Scottish Labour Party,Scottish party leader,party
Q24081901,Leader of the Scottish Liberal Democrats,"",party
Q24081904,Leader of the Scottish National Party,"",party
Q1711695,Member of the Scottish Parliament,representative of the people who has been elected to serve in the Scottish Parliament,self
Q3567536,Presiding Officer of the Scottish Parliament,"",self
