parlparse_id,facebook
uk.org.publicwhip/person/11929,http://www.facebook.com/adam.afriyie.7
uk.org.publicwhip/person/11599,http://www.facebook.com/holloway.adam
uk.org.publicwhip/person/10683,http://www.facebook.com/AdrianBaileywestbromwichwest
uk.org.publicwhip/person/10086,http://www.facebook.com/AlanCampbellMP
uk.org.publicwhip/person/10179,http://www.facebook.com/SirAlanDuncan
uk.org.publicwhip/person/25285,http://www.facebook.com/AlanMakHavant
uk.org.publicwhip/person/11185,http://www.facebook.com/AlanReidAandB
uk.org.publicwhip/person/10630,http://www.facebook.com/alanwhiteheadmp
uk.org.publicwhip/person/11402,http://www.facebook.com/Alasdair.McDonnellSB
uk.org.publicwhip/person/25413,http://www.facebook.com/AlbertoCostaOfficial
uk.org.publicwhip/person/24893,http://www.facebook.com/alec.shelbrooke
uk.org.publicwhip/person/25340,http://www.facebook.com/alexchalkchelt
uk.org.publicwhip/person/24742,http://www.facebook.com/AlexCunninghamMP
uk.org.publicwhip/person/10525,http://www.facebook.com/AlexSalmond
uk.org.publicwhip/person/24897,http://www.facebook.com/alisonmcgovernforwirralsouth
uk.org.publicwhip/person/25327,http://www.facebook.com/AlisonThewlissSNP
uk.org.publicwhip/person/10770,http://www.facebook.com/AlistairBurtforNEBedfordshire
uk.org.publicwhip/person/24902,http://www.facebook.com/AlokSharmaRDG
uk.org.publicwhip/person/24740,http://www.facebook.com/aluncairns
uk.org.publicwhip/person/25350,http://www.facebook.com/amanda.milling
uk.org.publicwhip/person/25436,http://www.facebook.com/pages/Amanda-Solloway-Derby-North/120624774790466
uk.org.publicwhip/person/24795,http://www.facebook.com/amberruddofficial
uk.org.publicwhip/person/24829,http://www.facebook.com/andrealeadsom
uk.org.publicwhip/person/10222,http://www.facebook.com/Andrew.George.Cornwall
uk.org.publicwhip/person/24826,http://www.facebook.com/agriffithsofficial
uk.org.publicwhip/person/11531,http://www.facebook.com/GwynneMP
uk.org.publicwhip/person/11132,http://www.facebook.com/andrew.murrison
uk.org.publicwhip/person/24832,http://www.facebook.com/andrewpercy4mp
uk.org.publicwhip/person/11199,http://www.facebook.com/AndrewRosindellofficial
uk.org.publicwhip/person/11559,http://www.facebook.com/andy4hammersmith
uk.org.publicwhip/person/25169,http://www.facebook.com/AndyMcDonaldMP
uk.org.publicwhip/person/25295,http://www.facebook.com/AngelaCrawleySNP
uk.org.publicwhip/person/10182,http://www.facebook.com/angela4labour
uk.org.publicwhip/person/25429,http://www.facebook.com/people/Angela-Rayner/100008057625447
uk.org.publicwhip/person/12004,http://www.facebook.com/AngusBMacNeil
uk.org.publicwhip/person/11189,http://www.facebook.com/AngusRobertsonSNP
uk.org.publicwhip/person/25313,http://www.facebook.com/Anna4Redcar
uk.org.publicwhip/person/24912,http://www.facebook.com/annemarie.morris.mp
uk.org.publicwhip/person/11603,http://www.facebook.com/AnneMiltonGuildford
uk.org.publicwhip/person/25363,http://www.facebook.com/antoinetteofficial
uk.org.publicwhip/person/10061,http://www.facebook.com/BenPBradshaw
uk.org.publicwhip/person/25334,http://www.facebook.com/Ben4Bath
uk.org.publicwhip/person/11668,http://www.facebook.com/benwallaceofficial
uk.org.publicwhip/person/24905,http://www.facebook.com/BillEsterson4SeftonCentral
uk.org.publicwhip/person/24945,http://www.facebook.com/bobblackmanofficial
uk.org.publicwhip/person/24907,http://www.facebook.com/Bob-Stewart-1431412443820085
uk.org.publicwhip/person/10999,http://www.facebook.com/borisjohnson
uk.org.publicwhip/person/24879,http://www.facebook.com/BrandonKennethLewis
uk.org.publicwhip/person/25370,http://www.facebook.com/BrendanOHaraSNP
uk.org.publicwhip/person/24709,http://www.facebook.com/bridgetphillipson
uk.org.publicwhip/person/25400,http://www.facebook.com/CallumMcCaigSNP
uk.org.publicwhip/person/25406,http://www.facebook.com/CarolMonaghanSNP
uk.org.publicwhip/person/24873,http://www.facebook.com/Caroline4Gosport
uk.org.publicwhip/person/10202,http://www.facebook.com/CarolineFlintMP
uk.org.publicwhip/person/24910,http://www.facebook.com/carolinelucas.page
uk.org.publicwhip/person/24809,http://www.facebook.com/carolinenokes4RSN
uk.org.publicwhip/person/25308,http://www.facebook.com/CarolynHarrisMPSwanseaEast
uk.org.publicwhip/person/25432,http://www.facebook.com/catsmithmp
uk.org.publicwhip/person/24818,http://www.facebook.com/CatMcKinnell
uk.org.publicwhip/person/25328,http://www.facebook.com/pages/Catherine-West-for-Hornsey-Wood-Green/522395934483552
uk.org.publicwhip/person/24891,http://www.facebook.com/CharlotteLeslieMP
uk.org.publicwhip/person/10228,http://www.facebook.com/cherylgillanmp
uk.org.publicwhip/person/24691,http://www.facebook.com/pages/Chloe-Smith-MP/1509476925970053
uk.org.publicwhip/person/10761,http://www.facebook.com/Chris4Rhondda
uk.org.publicwhip/person/25282,http://www.facebook.com/ChrisDaviesBR
uk.org.publicwhip/person/10920,http://www.facebook.com/Chris.Grayling.Official
uk.org.publicwhip/person/25359,http://www.facebook.com/ChrisGreenMP
uk.org.publicwhip/person/25154,http://www.facebook.com/chris.hazzard.77
uk.org.publicwhip/person/24841,http://www.facebook.com/chhcalling
uk.org.publicwhip/person/25270,http://www.facebook.com/ChrisLawSNP
uk.org.publicwhip/person/10354,http://www.facebook.com/ChrisLeslieMP
uk.org.publicwhip/person/25411,http://www.facebook.com/Chrismathesonforchester
uk.org.publicwhip/person/25377,http://www.facebook.com/chris.philp.official
uk.org.publicwhip/person/24713,http://www.facebook.com/chrisskidmoreofficial
uk.org.publicwhip/person/25306,http://www.facebook.com/ChrisStephensSNP
uk.org.publicwhip/person/24959,http://www.facebook.com/chriswhitewarwickandleamington
uk.org.publicwhip/person/24830,http://www.facebook.com/chriswilliamsonlabour
uk.org.publicwhip/person/25332,http://www.facebook.com/ChrisReesLabour
uk.org.publicwhip/person/24747,http://www.facebook.com/ChristopherPincher
uk.org.publicwhip/person/24950,http://www.facebook.com/ChukaUmunna
uk.org.publicwhip/person/10045,http://www.facebook.com/clive.betts.sheffieldse
uk.org.publicwhip/person/10185,http://www.facebook.com/clive.efford
uk.org.publicwhip/person/25356,http://www.facebook.com/labourclivelewis
uk.org.publicwhip/person/25423,http://www.facebook.com/ConorMcGinnMP
uk.org.publicwhip/person/25401,http://www.facebook.com/CorriWilsonSNP
uk.org.publicwhip/person/25437,http://www.facebook.com/mackinlay4souththanet
uk.org.publicwhip/person/25290,http://www.facebook.com/craig4nwarks
uk.org.publicwhip/person/10051,http://www.facebook.com/crispinbluntreigate
uk.org.publicwhip/person/24744,http://www.facebook.com/damiancollinsofficial
uk.org.publicwhip/person/10241,http://www.facebook.com/DamianGreenOfficial
uk.org.publicwhip/person/24782,http://www.facebook.com/damian.hinds
uk.org.publicwhip/person/25067,http://www.facebook.com/DanJarvisMP
uk.org.publicwhip/person/11513,http://www.facebook.com/danrogerson
uk.org.publicwhip/person/11817,http://www.facebook.com/daniel4shrews
uk.org.publicwhip/person/25386,http://www.facebook.com/Daniel-Zeichner-MP-373041482865096
uk.org.publicwhip/person/24684,http://www.facebook.com/DannyKinahanUUP
uk.org.publicwhip/person/11573,http://www.facebook.com/davidburrowesofficial
uk.org.publicwhip/person/10141,http://www.facebook.com/david.crausby.mp
uk.org.publicwhip/person/11719,http://www.facebook.com/davidtcdavies
uk.org.publicwhip/person/11408,http://www.facebook.com/DavidAEvennett
uk.org.publicwhip/person/10259,http://www.facebook.com/DavidHansonDelyn
uk.org.publicwhip/person/10678,http://www.facebook.com/DavidLammyTottenham
uk.org.publicwhip/person/10361,http://www.facebook.com/david.lidington.aylesbury
uk.org.publicwhip/person/24966,http://www.facebook.com/davidmorrisml
uk.org.publicwhip/person/24932,http://www.facebook.com/DavidMowatWS
uk.org.publicwhip/person/24877,http://www.facebook.com/NuttallforBuryNorth
uk.org.publicwhip/person/24820,http://www.facebook.com/david.rutley.1
uk.org.publicwhip/person/25372,http://www.facebook.com/DavidWarburtonSomertonAndFrome
uk.org.publicwhip/person/11447,http://www.facebook.com/DawnButlerBrent
uk.org.publicwhip/person/25336,http://www.facebook.com/DeidreBrockSNP
uk.org.publicwhip/person/10544,http://www.facebook.com/dennisskinnermp
uk.org.publicwhip/person/25440,http://www.facebook.com/derekthomas.org
uk.org.publicwhip/person/10580,http://www.facebook.com/Desmond.Swayne
uk.org.publicwhip/person/10001,http://www.facebook.com/Dianeabbott
uk.org.publicwhip/person/25305,http://www.facebook.com/DougChapmanSNP
uk.org.publicwhip/person/25382,http://www.facebook.com/DrewHendrySNP
uk.org.publicwhip/person/11545,http://www.facebook.com/EdMiliband
uk.org.publicwhip/person/24812,http://www.facebook.com/DrEilidhWhiteford
uk.org.publicwhip/person/10348,http://www.facebook.com/eleanor.laing.1
uk.org.publicwhip/person/24941,http://www.facebook.com/ElizabethTrussSWNorfolk
uk.org.publicwhip/person/11656,http://www.facebook.com/Emily-Thornberry-142202379163151
uk.org.publicwhip/person/25181,http://www.facebook.com/emma.lewellbuckmp
uk.org.publicwhip/person/24868,http://www.facebook.com/EmmaReynoldsMP
uk.org.publicwhip/person/24967,http://www.facebook.com/ericollerenshawofficial
uk.org.publicwhip/person/10256,http://www.facebook.com/fabian.hamilton
uk.org.publicwhip/person/24803,http://www.facebook.com/gareth.johnson.735
uk.org.publicwhip/person/10593,http://www.facebook.com/GarethThomas4ClwydWest
uk.org.publicwhip/person/10594,http://www.facebook.com/GarethThomasMP
uk.org.publicwhip/person/24863,http://www.facebook.com/backbarwell
uk.org.publicwhip/person/25291,http://www.facebook.com/GavinNewlandsSNP
uk.org.publicwhip/person/25280,http://www.facebook.com/GRobinsonDUP
uk.org.publicwhip/person/24847,http://www.facebook.com/GavinShukerMP
uk.org.publicwhip/person/24729,http://www.facebook.com/gavinforsouthstaffs
uk.org.publicwhip/person/10119,http://www.facebook.com/geoffreycliftonbrown
uk.org.publicwhip/person/10506,http://www.facebook.com/grobinsonmp
uk.org.publicwhip/person/24817,http://www.facebook.com/GeorgeFreemanMidNorfolk
uk.org.publicwhip/person/10218,http://www.facebook.com/OfficialGeorgeGalloway
uk.org.publicwhip/person/24936,http://www.facebook.com/george.hollingbery
uk.org.publicwhip/person/10159,http://www.facebook.com/GeraintDaviesMP
uk.org.publicwhip/person/25289,http://www.facebook.com/GeraldJonesLabour
uk.org.publicwhip/person/24811,http://www.facebook.com/gloriadepieroforashfield
uk.org.publicwhip/person/24739,http://www.facebook.com/glyndaviesmont
uk.org.publicwhip/person/24793,http://www.facebook.com/gordonforburnley
uk.org.publicwhip/person/24828,http://www.facebook.com/vote4gordonhenderson
uk.org.publicwhip/person/10415,http://www.facebook.com/GordonMarsden4BlackpoolSouth
uk.org.publicwhip/person/10062,http://www.facebook.com/voteforAltSaleWest
uk.org.publicwhip/person/24883,http://www.facebook.com/grahamevans
uk.org.publicwhip/person/24835,http://www.facebook.com/grahampjonesmp
uk.org.publicwhip/person/11406,http://www.facebook.com/grahamstuart62
uk.org.publicwhip/person/24715,http://www.facebook.com/grahame.morris
uk.org.publicwhip/person/11917,http://www.facebook.com/grant.shapps
uk.org.publicwhip/person/11610,http://www.facebook.com/greghandschelseafulham
uk.org.publicwhip/person/11672,http://www.facebook.com/gregmulhollandLNW
uk.org.publicwhip/person/10780,http://www.facebook.com/gregory.campbell.549
uk.org.publicwhip/person/24736,http://www.facebook.com/GutoAberconwy
uk.org.publicwhip/person/25409,http://www.facebook.com/hannah.bardell.5
uk.org.publicwhip/person/24785,http://www.facebook.com/harriettbaldwin
uk.org.publicwhip/person/24769,http://www.facebook.com/heatherwheeler4southderbyshire
uk.org.publicwhip/person/24953,http://www.facebook.com/pages/Heidi-Alexander-MP/460236504027731
uk.org.publicwhip/person/11421,http://www.facebook.com/helengoodmanBA
uk.org.publicwhip/person/10319,http://www.facebook.com/HelenJonesMP
uk.org.publicwhip/person/25398,http://www.facebook.com/hwhately
uk.org.publicwhip/person/10669,http://www.facebook.com/hilarybenn4leedscentral
uk.org.publicwhip/person/25426,http://www.facebook.com/HuwMerrimanBexhillBattle
uk.org.publicwhip/person/11323,http://www.facebook.com/HywelWilliamsASMP
uk.org.publicwhip/person/10180,http://www.facebook.com/iainduncansmith.org
uk.org.publicwhip/person/24947,http://www.facebook.com/iain.stewartmp
uk.org.publicwhip/person/11553,http://www.facebook.com/IanAustinMP
uk.org.publicwhip/person/25361,http://www.facebook.com/IanBlackford.SNP
uk.org.publicwhip/person/24963,http://www.facebook.com/IanLaveryMP
uk.org.publicwhip/person/11048,http://www.facebook.com/ianliddellgrainger
uk.org.publicwhip/person/11057,http://www.facebook.com/ian4wrexham
uk.org.publicwhip/person/24872,http://www.facebook.com/IanMurrayMP
uk.org.publicwhip/person/10357,http://www.facebook.com/ivan.lewis.54
uk.org.publicwhip/person/24825,http://www.facebook.com/JackDromeyMPforErdington
uk.org.publicwhip/person/24716,http://www.facebook.com/jackloprestiofficial
uk.org.publicwhip/person/24957,http://www.facebook.com/jackiedp
uk.org.publicwhip/person/24926,http://www.facebook.com/JacobReesMogg
uk.org.publicwhip/person/24860,http://www.facebook.com/jakeberryofficial
uk.org.publicwhip/person/25312,http://www.facebook.com/votejamesberry
uk.org.publicwhip/person/11640,http://www.facebook.com/jpbrokenshire
uk.org.publicwhip/person/25414,http://www.facebook.com/james4southsuffolk
uk.org.publicwhip/person/25376,http://www.facebook.com/james.cleverly
uk.org.publicwhip/person/25292,http://www.facebook.com/jamesdaviesofficial
uk.org.publicwhip/person/11785,http://www.facebook.com/jamespduddridge
uk.org.publicwhip/person/10240,http://www.facebook.com/jamesgraymp
uk.org.publicwhip/person/25438,http://www.facebook.com/jheappey
uk.org.publicwhip/person/24855,http://www.facebook.com/JamesMorrisHRR
uk.org.publicwhip/person/24719,http://www.facebook.com/JaneEllison.net
uk.org.publicwhip/person/25366,http://www.facebook.com/jeffsmithforwithington
uk.org.publicwhip/person/10172,http://www.facebook.com/jeffrey.donaldson1
uk.org.publicwhip/person/24711,http://www.facebook.com/JennyForDarlington
uk.org.publicwhip/person/10133,http://www.facebook.com/pages/Jeremy-Corbyn/330250343871
uk.org.publicwhip/person/11859,http://www.facebook.com/jeremyhuntsws
uk.org.publicwhip/person/24760,http://www.facebook.com/JeremyLefroyMP
uk.org.publicwhip/person/25417,http://www.facebook.com/JeremyQuinOfficial
uk.org.publicwhip/person/11791,http://www.facebook.com/JeremyWright2015
uk.org.publicwhip/person/25364,http://www.facebook.com/jessphillipsyardley
uk.org.publicwhip/person/24827,http://www.facebook.com/jesse.norman.hereford
uk.org.publicwhip/person/11732,http://www.facebook.com/JessMorden
uk.org.publicwhip/person/10147,http://www.facebook.com/jimforcoventrysouth
uk.org.publicwhip/person/10199,http://www.facebook.com/JimFitzMP
uk.org.publicwhip/person/13864,http://www.facebook.com/Jim-Shannon-MP-477928115581090
uk.org.publicwhip/person/25408,http://www.facebook.com/JoChurchillOfficial
uk.org.publicwhip/person/24895,http://www.facebook.com/jo.johnson.75457081
uk.org.publicwhip/person/25304,http://www.facebook.com/JoStevensLabour
uk.org.publicwhip/person/11971,http://www.facebook.com/joswinson
uk.org.publicwhip/person/25404,http://www.facebook.com/JoannaCherryMP
uk.org.publicwhip/person/24839,http://www.facebook.com/johnglenmp
uk.org.publicwhip/person/10248,http://www.facebook.com/JohnGroganforKeighley
uk.org.publicwhip/person/10268,http://www.facebook.com/johnhealeymp
uk.org.publicwhip/person/14026,http://www.facebook.com/JohnLamontBorders
uk.org.publicwhip/person/11093,http://www.facebook.com/people/John-Mann/692612493
uk.org.publicwhip/person/10383,http://www.facebook.com/johnmcdonnellmp
uk.org.publicwhip/person/25271,http://www.facebook.com/JohnMcNallySNP
uk.org.publicwhip/person/25281,http://www.facebook.com/JohnNicolsonSNP
uk.org.publicwhip/person/11924,http://www.facebook.com/john.penrose.37
uk.org.publicwhip/person/10499,http://www.facebook.com/john.redwood.official
uk.org.publicwhip/person/10558,http://www.facebook.com/johnspellar
uk.org.publicwhip/person/10632,http://www.facebook.com/johnwhittingdale4maldon
uk.org.publicwhip/person/24837,http://www.facebook.com/jzwoodcock
uk.org.publicwhip/person/25367,http://www.facebook.com/JohnnyForPlymouth
uk.org.publicwhip/person/25120,http://www.facebook.com/JonAshworth
uk.org.publicwhip/person/10828,http://www.facebook.com/JonCruddas
uk.org.publicwhip/person/10604,http://www.facebook.com/jon.trickett
uk.org.publicwhip/person/10854,http://www.facebook.com/JonathanDjanogly
uk.org.publicwhip/person/24929,http://www.facebook.com/JonathanreynoldsMP
uk.org.publicwhip/person/25393,http://www.facebook.com/JudithCumminsMP
uk.org.publicwhip/person/10065,http://www.facebook.com/brazierj
uk.org.publicwhip/person/24961,http://www.facebook.com/juliansmithofficial
uk.org.publicwhip/person/25283,http://www.facebook.com/julieelizabethcooper
uk.org.publicwhip/person/24710,http://www.facebook.com/JulieElliottSunderland
uk.org.publicwhip/person/25378,http://www.facebook.com/justinmaddersforepn
uk.org.publicwhip/person/24870,http://www.facebook.com/justintomlinsonofficial
uk.org.publicwhip/person/11771,http://www.facebook.com/justinegreening.co.uk
uk.org.publicwhip/person/24725,http://www.facebook.com/votekarenbradley
uk.org.publicwhip/person/10075,http://www.facebook.com/KarenBuck4WN
uk.org.publicwhip/person/25390,http://www.facebook.com/KarinSmythMP
uk.org.publicwhip/person/24790,http://www.facebook.com/KarlMcCartneyLincoln
